Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active
New Zealand,-7689.3128,32878.568,175979,2181,149560,24238
Nicaragua,2418.698208,-16018.959052,137545,4867,86849,45829
Niger,3310.264332,1519.353208,102223,5948,79067,17208
Nigeria,1707.4160000000002,1630.9564,1634040,39416,600928,993696
North Macedonia,7822.416800000001,4088.1164,440483,21235,214483,204765
Norway,11368.736,1592.1532,1008821,25664,544430,438727
Oman,4044.365604,10513.571940000002,2559773,11804,1439269,1108700
Pakistan,5710.5563999999995,13036.8788,12833994,264729,6936003,5633262
Panama,1605.144,-15187.0348,2378126,51756,1213644,1112726
Papua New Guinea,-1187.2186840000002,27063.643399999997,1185,2,695,488
Paraguay,-4407.19,-10987.4344,156373,1663,75800,78910
Peru,-1727.7199999999998,-14102.8576,19263916,652113,10862846,7748957
Philippines,2421.387548,22893.515196,2972611,110892,785042,2076677
Poland,9760.8472,3599.2788,2755525,118018,1465856,1171651
Portugal,7407.181200000001,-1546.2060000000001,3855363,146603,1809966,1898794
Qatar,4766.7024,9622.5732,6377607,7123,4676443,1694041
Romania,8637.3216,4693.7584,2363132,140031,1409409,813692
Russia,11566.513879999999,19799.926128,45408411,619385,25120448,19668578
Rwanda,-364.77639999999997,5616.2932,71242,169,36974,34099
Saint Kitts and Nevis,3263.270536,-11803.203624,1772,0,1295,477
Saint Lucia,2614.9672,-11464.0332,2236,0,1860,376
Saint Vincent and the Grenadines,2441.0483999999997,-11521.9936,2771,0,1995,776
San Marino,8261.1712,2342.0664,74949,5086,41810,28053
Sao Tome and Principe,35.0432,1243.2628,46884,950,15882,30052
Saudi Arabia,4490.5570960000005,8474.882456,12362961,105150,8474107,3783704
Senegal,2725.5112,-2717.0512000000003,467457,7177,286778,173502
Serbia,8275.102,3949.1092,1376322,28876,735730,611716
Seychelles,-879.7647999999999,10432.496,3977,0,1247,2730
Sierra Leone,1590.58434,-2214.6191320000003,95846,4186,58390,33270
Singapore,241.26040000000003,19520.6604,3502472,2441,2372884,1127147
Slovakia,9149.771999999999,3703.4120000000003,176429,2692,121950,51787
Slovenia,8676.4256,2819.154,186132,11326,109805,65001
Somalia,968.6040119999999,8685.527807999999,206646,7006,59491,140149
South Africa,-5745.186,4312.25,11168743,181979,5836423,5150341
South Korea,6750.658316000002,24020.181335999998,1647537,33518,1246797,367222
South Sudan,1292.8760000000002,5885.715999999999,118818,2006,23121,93691
Spain,7607.169396,-704.8533600000001,27404045,3033030,15093583,9277432
Sri Lanka,1480.1341519999999,15185.097835999995,166865,1105,109389,56371
Sudan,2418.2064,5680.9088,586392,35415,240835,310142
Suriname,736.8284,-10533.2264,32247,721,17436,14090
Sweden,11304.094267999999,3504.978188,4973160,448913,0,4524247
Switzerland,8801.8216,1546.7699999999998,3696604,207858,2957883,530863
Syria,6542.7901,7331.4012200000025,20946,973,0,19973
Taiwan*,4455.599999999999,22748.0,55593,840,42184,12569
Tajikistan,7305.8679999999995,13399.9068,383026,3915,264000,115111
Tanzania,-1197.377264,6559.0985359999995,49327,1985,16729,30613
Thailand,2983.566016,18986.597708,366527,6289,312360,47878
Timor-Leste,-1668.352796,23636.777331999998,2487,0,0,2487
Togo,1620.4660000000001,155.0624,47390,1295,28330,17765
Trinidad and Tobago,2010.0584000000001,-11509.83,14967,949,10531,3487
Tunisia,6370.740395999999,1793.049812,126590,5250,85410,35930
Turkey,7325.1756000000005,6625.7404,17903345,466056,13345389,4091900
US,7520.0,-18800.0,224345948,11011411,56353416,156981121
Uganda,258.186604,6070.5717,56688,6,39767,16915
Ukraine,9095.3272,5859.1328,3214085,85248,1387463,1741374
United Arab Emirates,4403.726288,10123.389783999999,3658838,25387,2402874,1230577
United Kingdom,50765.620824000005,-90789.837208,26748587,3997775,126217,22624595
Uruguay,-6114.286399999999,-10483.9704,94742,2456,72759,19527
Uzbekistan,7778.9683079999995,12142.029256,678008,2938,423777,251293
Venezuela,1207.6743999999999,-12518.863599999999,412231,4101,151542,256588
Vietnam,2642.964912,20356.113412,40675,0,32838,7837
West Bank and Gaza,6007.0136,6623.8416,233461,1370,61124,170967
Western Sahara,4552.514,-2422.5304,901,63,648,190
Yemen,2923.9126760000004,9121.080944,67180,17707,23779,25694
Zambia,-2469.172636,5235.674416,129421,2643,83611,43167
Zimbabwe,-3574.902344,5481.1131159999995,50794,881,12207,37706
